training_step, return
732,185.0
1218,125.0
1899,460.0
2405,120.0
2822,100.0
3335,160.0
4028,140.0
4483,120.0
5442,260.0
6072,115.0
6509,135.0
7110,105.0
7582,105.0
7878,50.0
8637,210.0
9064,20.0
9512,155.0
9950,80.0
10531,210.0
11134,425.0
11554,75.0
11969,55.0
12303,75.0
12717,105.0
13313,210.0
13731,155.0
14632,260.0
14918,80.0
15451,110.0
15742,85.0
16061,80.0
16419,135.0
16769,40.0
17584,290.0
17968,35.0
18307,180.0
18708,75.0
19184,120.0
19494,80.0
20232,210.0
20712,135.0
21291,190.0
21574,55.0
22154,140.0
22903,210.0
23486,165.0
23968,105.0
24373,150.0
24636,50.0
25112,125.0
25593,110.0
26134,135.0
26572,110.0
27184,360.0
27723,210.0
28221,175.0
28682,45.0
29164,90.0
29649,135.0
29898,15.0
30276,120.0
30768,125.0
31392,370.0
31746,125.0
32194,75.0
32684,165.0
33161,110.0
33821,145.0
34343,195.0
34653,50.0
35021,110.0
35593,180.0
36084,120.0
36629,335.0
36952,5.0
37776,300.0
38645,335.0
39130,120.0
39648,135.0
40150,105.0
40644,90.0
41231,210.0
41698,120.0
42204,105.0
42785,330.0
43112,30.0
43567,130.0
44318,580.0
44836,155.0
45316,155.0
46156,155.0
46585,10.0
47112,165.0
47577,110.0
48164,120.0
48984,315.0
49374,80.0
49894,170.0
50292,55.0
50812,160.0
51500,170.0
51809,100.0
52966,310.0
53716,320.0
54030,80.0
54504,155.0
54963,80.0
55850,165.0
56216,65.0
57044,385.0
57567,105.0
58017,90.0
58740,185.0
59672,210.0
60144,60.0
60865,305.0
61289,110.0
61723,45.0
62371,180.0
62812,35.0
63398,180.0
64013,120.0
64763,185.0
65142,80.0
65885,190.0
66411,105.0
66951,120.0
67398,90.0
68047,165.0
68645,120.0
69227,180.0
69620,45.0
70112,105.0
70667,120.0
71202,120.0
71908,210.0
72438,120.0
72903,105.0
73455,140.0
73774,35.0
74228,90.0
74707,105.0
75276,155.0
75947,250.0
76284,65.0
76672,35.0
77469,260.0
77974,210.0
78577,155.0
79041,120.0
79779,160.0
80175,30.0
80685,110.0
81087,35.0
81587,80.0
82042,35.0
82332,55.0
82692,60.0
83133,155.0
83577,120.0
83884,80.0
84271,125.0
84668,75.0
85176,110.0
85683,335.0
86143,110.0
86599,170.0
87042,105.0
87336,15.0
87891,135.0
88576,140.0
89085,120.0
89680,140.0
90579,335.0
91125,150.0
91684,120.0
91992,20.0
92371,80.0
92680,60.0
93098,100.0
93371,65.0
94058,215.0
94540,150.0
95125,135.0
95993,155.0
96445,140.0
96741,80.0
97218,60.0
97625,110.0
98499,300.0
99015,180.0
100131,495.0
100646,140.0
101149,135.0
101693,230.0
102559,240.0
103160,155.0
103484,65.0
104187,210.0
104691,140.0
105173,155.0
105787,215.0
106245,120.0
106592,110.0
107069,120.0
107369,65.0
107952,185.0
108396,140.0
108799,90.0
109450,135.0
109833,65.0
110417,180.0
110960,105.0
111438,105.0
112136,340.0
112519,120.0
113069,140.0
113806,290.0
114319,155.0
115002,225.0
115540,335.0
115996,80.0
116746,465.0
117331,250.0
118170,520.0
118707,115.0
119274,145.0
119886,210.0
120159,30.0
120879,125.0
121260,65.0
121546,60.0
121896,110.0
122222,30.0
122823,280.0
123664,495.0
123962,30.0
124364,135.0
124826,90.0
125470,345.0
125801,35.0
126342,105.0
126925,95.0
127335,180.0
128036,410.0
128356,60.0
128887,155.0
129439,210.0
129931,125.0
130610,135.0
131079,110.0
131822,290.0
132211,90.0
132667,45.0
132945,65.0
133372,105.0
133714,125.0
134446,330.0
134919,45.0
135383,175.0
135708,30.0
136183,195.0
136566,30.0
137344,270.0
137849,215.0
138333,55.0
139173,385.0
139861,265.0
140561,255.0
141062,155.0
141538,110.0
142122,140.0
142615,160.0
142956,60.0
143772,330.0
144276,210.0
144691,110.0
145333,165.0
146066,380.0
146445,105.0
147064,390.0
147548,180.0
148440,290.0
148824,110.0
149311,30.0
149780,30.0
150073,60.0
150363,105.0
151095,325.0
151987,405.0
152468,140.0
153064,115.0
153759,225.0
154377,150.0
155010,180.0
155645,205.0
156157,110.0
156804,240.0
157414,210.0
157913,125.0
158612,565.0
159335,230.0
159705,130.0
160252,115.0
160524,80.0
160831,50.0
161650,240.0
162050,110.0
162579,155.0
163118,150.0
163617,135.0
164048,110.0
164637,260.0
164935,90.0
165594,235.0
166616,465.0
166891,70.0
167362,120.0
168094,165.0
168650,130.0
169386,220.0
169843,105.0
170230,80.0
170715,35.0
171004,45.0
171595,125.0
172199,215.0
172584,95.0
173073,180.0
173575,155.0
174042,100.0
174449,125.0
174895,105.0
175241,85.0
176018,415.0
176387,110.0
176818,120.0
177111,55.0
177458,30.0
177861,85.0
178549,215.0
178941,120.0
179320,55.0
179610,80.0
179995,110.0
180439,125.0
180963,240.0
181501,155.0
181792,50.0
182422,155.0
183093,305.0
183397,50.0
183740,90.0
184225,195.0
184773,185.0
185167,105.0
185544,135.0
186051,170.0
186544,205.0
187033,155.0
187369,125.0
188098,225.0
188622,105.0
189224,275.0
189715,135.0
190504,285.0
190786,55.0
191425,295.0
191733,55.0
192186,35.0
192874,335.0
193324,185.0
193914,260.0
194405,120.0
194831,135.0
195212,55.0
195586,110.0
196069,240.0
196362,105.0
196618,50.0
197057,135.0
197500,55.0
197883,180.0
198240,80.0
198832,225.0
199487,230.0
199968,135.0
200809,450.0
201430,185.0
201738,105.0
202298,165.0
202703,35.0
203239,90.0
203723,180.0
204506,500.0
205038,170.0
205442,105.0
205754,50.0
206235,145.0
206622,105.0
207304,195.0
207688,110.0
208319,375.0
208795,135.0
209084,105.0
209383,100.0
209740,100.0
210523,165.0
210811,110.0
211330,240.0
211821,110.0
212455,210.0
213532,645.0
214174,260.0
214795,265.0
215174,80.0
215613,105.0
215899,115.0
216440,145.0
217064,290.0
217458,180.0
217955,135.0
218533,210.0
219163,245.0
219969,400.0
220573,290.0
220860,75.0
221457,150.0
222016,150.0
222658,260.0
223235,415.0
223983,345.0
224733,315.0
225036,50.0
225442,80.0
226275,285.0
226707,210.0
227130,170.0
227766,290.0
228169,160.0
228845,215.0
229614,445.0
230150,210.0
230609,215.0
231070,140.0
231886,475.0
232417,245.0
233038,300.0
233516,210.0
233894,210.0
234375,120.0
234891,100.0
235621,315.0
236126,150.0
236808,280.0
237341,170.0
237735,85.0
238077,115.0
238540,120.0
239121,215.0
239665,415.0
240433,305.0
240917,180.0
241451,225.0
242148,255.0
242535,100.0
242880,55.0
243614,335.0
244154,225.0
244704,170.0
245390,185.0
246026,245.0
246559,245.0
247023,150.0
247910,270.0
248657,505.0
249170,160.0
249941,270.0
250350,80.0
250759,125.0
251225,200.0
251915,255.0
252311,180.0
252686,75.0
253294,385.0
253888,235.0
254273,105.0
254671,180.0
255392,315.0
255856,120.0
256229,105.0
256749,170.0
257429,155.0
257909,210.0
258461,215.0
258982,210.0
259409,120.0
259812,85.0
260298,155.0
260709,80.0
261252,275.0
261750,195.0
262120,95.0
262668,210.0
263268,165.0
263944,330.0
264643,515.0
265230,110.0
265841,210.0
266246,80.0
266526,80.0
266939,150.0
267407,155.0
267916,140.0
268361,180.0
268725,75.0
269411,210.0
270161,345.0
270653,180.0
271289,185.0
271777,145.0
272577,485.0
273089,230.0
273648,210.0
273999,105.0
274714,225.0
275320,210.0
275720,120.0
276227,185.0
276817,210.0
277340,150.0
277668,105.0
278516,270.0
278964,120.0
279340,30.0
280005,285.0
280413,125.0
280926,180.0
281604,290.0
282214,215.0
282719,120.0
283554,610.0
283978,135.0
284725,350.0
284993,85.0
285492,230.0
285924,155.0
286438,215.0
286791,80.0
287493,230.0
288022,230.0
288653,310.0
289180,205.0
289541,80.0
290073,220.0
290554,240.0
291172,210.0
291974,350.0
292330,80.0
292848,210.0
293219,135.0
293836,175.0
294490,345.0
295070,130.0
295577,260.0
296080,210.0
296591,215.0
297083,210.0
297796,300.0
298117,80.0
298763,330.0
299399,240.0
299807,135.0
300448,130.0
301105,250.0
301585,155.0
301890,55.0
302185,125.0
302610,155.0
303023,100.0
303414,170.0
303794,110.0
304514,325.0
304801,95.0
305211,90.0
305511,80.0
305859,135.0
306464,210.0
306902,150.0
307371,155.0
307742,120.0
308349,200.0
308751,155.0
309482,300.0
309991,205.0
310476,180.0
310942,180.0
311470,180.0
312070,165.0
312720,460.0
313053,100.0
313441,65.0
313919,210.0
314398,155.0
314817,125.0
315299,210.0
315812,155.0
316219,125.0
316636,155.0
317016,120.0
317651,155.0
318246,220.0
318538,100.0
319023,155.0
319318,150.0
319617,80.0
320109,215.0
320779,185.0
321160,180.0
321840,235.0
322224,55.0
322679,150.0
323291,230.0
323832,140.0
324212,180.0
324631,185.0
325363,455.0
325819,155.0
326162,105.0
326579,210.0
326900,155.0
327426,210.0
328088,230.0
328459,180.0
329147,210.0
329899,315.0
330357,155.0
330873,185.0
331367,210.0
331943,185.0
332524,435.0
333066,200.0
333835,520.0
334401,380.0
334858,135.0
335295,165.0
335668,80.0
336245,215.0
336888,200.0
337379,175.0
337920,210.0
338593,490.0
339046,155.0
